id,Movie Name,Release Date,Production Budget (USD),Domestic Gross (USD),Worldwide Gross (USD),Domestic Box Office (USD),International Box Office (USD),Worldwide Box Office (USD),Est. Domestic DVD Sales (USD),Est. Domestic Blu-ray Sales (USD),Total Est. Domestic Video Sales (USD),Opening Weekend (USD),Legs,Infl. Adj. Dom. BO (USD),Video Release,MPAA Rating,Running Time (minutes),Franchise,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Domestic Releases,International Releases,Theater counts,Domestic Share Percentage,Movie URL
1,Star Wars Ep. VII: The Force Awakens,2015-12-16,533200000,936662225,2056046835,936662225,1119384610,2056046835,39601100,151559711,191160811,247966675,3.78,1191447782,2016-04-01,PG-13,136,Star Wars,"Space Opera,Good vs. Evil,Delayed Sequel,Intertitle,Robot,Sequels With Returning Stars,Dysfunctional Family,Gratuitous Cameos,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in England,Filmed in Pinewood Studios, Buckinghamshire, England,Filmed in Iceland,Filmed in the United Arab Emirates,Filmed in Liwa Oasis, Abu Dhabi,Filmed in Ireland,Filmed in Skellig Michael, Ireland,Filmed in County Kerry, Ireland,Filmed in the Lake District, England,Filmed in RAF Greenham Common, Berkshire, England,Filmed in Berkshire, England,Filmed in the Forest of Dean, Gloucestershire, England,Filmed in Puzzlewood, Gloucestershire, England,Filmed in United Kingdom,Filmed in Gloucestershire, England,Filmed in Abu Dhabi,Filmed in Buckinghamshire England,Filmed in United Arab Emirates,Heroic Adventure",Original Screenplay,Adventure,"Animation,Live Action",Science Fiction,"Lucasfilm,Bad Robot",United States,English,"December 18th, 2015 (IMAX) byWalt DisneyDecember 18th, 2015 (Wide) byWalt Disney","December 16th, 2015 (Wide) (Belgium)December 16th, 2015 (Wide) (Denmark)December 16th, 2015 (Wide) (Egypt)December 16th, 2015 (Wide) (Finland)December 16th, 2015 (Wide) (France)... Show all releases","4,134 opening theaters/4,134 max. theaters, 9.2 weeks average run per theater",45.6,https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary
2,Avatar: The Way of Water,2022-12-09,460000000,684075767,2315589775,684075767,1631514008,2315589775,7771432,11365092,19136524,134100226,5.1,693596368,2023-03-28,PG-13,190,Avatar,"Action Adventure,Delayed Sequel,Humans as Aliens,Sequel With Returning Stars Playing New Characters,2023 Oscars Best Picture Nominee,Filmed in Los Angeles, CA",Original Screenplay,Action,"Animation,Live Action",Science Fiction,"Lightstorm Entertainment,20th Century Studios,TSG Entertainment",United States,English,"December 16th, 2022 (Wide) by20th Century StudiosDecember 16th, 2022 (IMAX) by20th Century Studios","December 9th, 2022 (Wide) (Finland)December 14th, 2022 (Wide), released asAvatar 2: The Way of Water(Austria)December 14th, 2022 (Wide) (Belgium)December 14th, 2022 (Wide), released asAvatar: The Way of Water (阿凡达：水之道)(China)December 14th, 2022 (Wide) (Denmark)... Show all releases","4,202 opening theaters/4,340 max. theaters, 11.1 weeks average run per theater",29.5,https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=summary
4,Avengers: Endgame,2019-04-23,400000000,858373000,2748242781,858373000,1889869781,2748242781,23961293,83907696,107868989,357115007,2.4,1010181328,2019-07-30,PG-13,181,Marvel Cinematic UniverseAvengers,"Ensemble,Marvel Comics,Animal Lead,Non-Chronological,Super Villains,Death of a Best Friend,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Time Travel,Good vs. Evil,Filmed in Georgia, United States,Filmed in Pinewood Atlanta Studios,Filmed in England,Filmed in New York, United States,Filmed in Scotland,Filmed in United States,Filmed in United Kingdom,Filmed in Atlanta, GA,Filmed in Fayette County, GA,Filmed in Durham Cathedral, Durham, England,Filmed in St Abbs, Scotland,Filmed in Berwickshire, Scotland,Filmed in The Gulch, Atlanta, GA,Filmed in Five Points MARTA station, Atlanta, GA,Filmed in Piedmont Park, Atlanta, GA,Filmed in Dutchess County, New York, NY,Filmed in Ulster County, New York, NY,Filmed in Fulton County, GA,Action Adventure",Based on Comic/Graphic Novel,Action,"Animation,Live Action",Super Hero,Marvel Studios,United States,English,"April 26th, 2019 (Wide) byWalt DisneyApril 26th, 2019 (IMAX) byWalt Disney","April 23rd, 2019 (Limited) (China)April 24th, 2019 (Wide) (Australia)April 24th, 2019 (Wide) (China)April 24th, 2019 (Wide) (France)April 24th, 2019 (Wide) (Germany)... Show all releases","4,662 opening theaters/4,662 max. theaters, 8.1 weeks average run per theater",31.2,https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary
6,Pirates of the Caribbean: On Stranger Tides,2011-05-20,379000000,241071802,1045713802,241071802,804642000,1045713802,33797726,58986626,92784352,90151958,2.67,327711731,2011-10-18,PG-13,136,Pirates of the Caribbean,"Pirates,Zombies,Visual Effects,Romance,Epilogue,Revenge,Sequels Without Their Original Stars,3-D,Foreign Language,Escape,Mermaids,IMAX: DMR,Supernatural,Action Adventure",Based on Theme Park Ride,Adventure,Live Action,Historical Fiction,Walt Disney Pictures,United States,English,"May 20th, 2011 (Wide) byWalt DisneyMay 20th, 2011 (IMAX) byWalt Disney",,"4,155 opening theaters/4,164 max. theaters, 6.0 weeks average run per theater",23.1,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary
7,Avengers: Age of Ultron,2015-04-22,365000000,459005868,1395316979,459005868,936311111,1395316979,36065408,55624219,91689627,191271109,2.4,586961233,2015-09-08,PG-13,141,Marvel Cinematic UniverseAvengers,"Marvel Comics,Robot,End of the World,Hallucinations,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Johannesburg, South Africa,Filmed in South Africa,Filmed in Central Business District, Johannesburg, South Africa,Filmed in Shepperton Studios, Surrey, England,Filmed in Surrey, England,Filmed in England,Filmed in United Kingdom,Filmed in Fort Bard, Italy,Filmed in Aosta Valley, Italy,Filmed in Italy,Filmed in Mapo Bridge, Seoul, South Korea,Filmed in Seoul, South Korea,Filmed in South Korea,Filmed in Sebitseom, Seoul, South Korea,Filmed in Gangnam District, Seoul, South Korea,Filmed in Hawley Woods, Hampshire, England,Filmed in Hampshire, England,Filmed in Rivoli Ballroom, London, England,Filmed in London, England,Filmed in University of East Anglia, Norwich, England,Filmed in Norwich, East Anglia, England,Filmed in East Anglia, England,Filmed in Dover Castle, Kent, England,Filmed in Dover, Kent, England,Filmed in Kent, England,Filmed in New York, NY,Filmed in New York, United States,Filmed in Chittagong Ship Breaking Yard, Chittagong, Bangladesh,Filmed in Chittagong, Bangladesh,Filmed in Bangladesh,Action Adventure",Based on Comic/Graphic Novel,Action,"Animation,Live Action",Super Hero,Marvel Studios,United States,English,"May 1st, 2015 (Wide) byWalt DisneyMay 1st, 2015 (IMAX) byWalt Disney","April 22nd, 2015 (Wide) (Finland)April 22nd, 2015 (Wide) (France)April 22nd, 2015 (Wide) (Italy)April 22nd, 2015 (Wide) (Netherlands)April 22nd, 2015 (Wide) (Norway)... Show all releases","4,276 opening theaters/4,276 max. theaters, 7.0 weeks average run per theater",32.9,https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary
8,Fast X,2023-05-17,340000000,146126015,714375114,146126015,568249099,714375114,4701025,6802934,11503959,67017410,2.18,146126015,2023-06-09,PG-13,141,Fast and the Furious,"Car Chase,Gangs,Organized Crime,Sequels With Returning Stars,Action Thriller,Ensemble",Original Screenplay,Action,Live Action,Contemporary Fiction,"Universal Pictures,Original Film,One Race Films,Roth Films,Roth Kirschenbaum Films,Perfect Storm Entertainment",United States,English,"May 19th, 2023 (Wide) byUniversalMay 19th, 2023 (IMAX) byUniversal","May 17th, 2023 (Wide) (Belgium)May 17th, 2023 (Wide), released asFast X (Бързи и яростни 10)(Bulgaria)May 17th, 2023 (Wide), released asFast X (速度与激情10)(China)May 17th, 2023 (Wide) (Egypt)May 17th, 2023 (Wide) (Finland)... Show all releases","4,046 opening theaters/4,088 max. theaters, 4.3 weeks average run per theater",20.5,https://www.the-numbers.com/movie/Fast-X-(2023)#tab=summary
9,Solo: A Star Wars Story,2018-05-23,330400000,213767512,393151347,213767512,179383835,393151347,16672777,39434713,56107490,84420489,2.53,252954306,2018-09-14,PG-13,135,Star Wars,"Prequel,Space Opera,Smuggler,Heist,Origin Story,Romance,Relationships Gone Wrong,Organized Crime,Crime Boss,Intertitle,Prologue,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Heroic Adventure",Spin-Off,Adventure,"Animation,Live Action",Science Fiction,Lucasfilm,United States,English,"May 25th, 2018 (Wide) byWalt DisneyMay 25th, 2018 (IMAX) byWalt Disney","May 23rd, 2018 (Wide) (Indonesia)May 23rd, 2018 (Wide) (Italy)May 24th, 2018 (Wide) (China)May 24th, 2018 (Wide) (United Kingdom)May 25th, 2018 (Wide) (Argentina)... Show all releases","4,381 opening theaters/4,381 max. theaters, 5.2 weeks average run per theater",54.4,https://www.the-numbers.com/movie/Solo-A-Star-Wars-Story#tab=summary
10,Avengers: Infinity War,2018-04-25,300000000,678815482,2048359754,678815482,1369544272,2048359754,25831315,78262707,104094022,257698183,2.63,803252566,2018-07-31,PG-13,156,Marvel Cinematic UniverseAvengers,"Marvel Comics,Robot,End of the World,Hallucinations,Super Villains,Ensemble,Franchise Crossover,Set in Outer Space,Gods and Goddesses,Non-Chronological,Death of a Sibling,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Pinewood Atlanta Studios,Filmed in Georgia, United States,Filmed in Scotland,Filmed in United States,Filmed in United Kingdom,Filmed in Edinburgh, Scotland,Filmed in Glasgow, Scotland,Filmed in the Scottish Highlands,Filmed in Central Park, Atlanta, GA,Filmed in Queens, New York, NY,Filmed in New York, United States,Filmed in New York, NY,Filmed in Wardpark Studios, Lanarkshire, Scotland,Filmed in Lanarkshire, Scotland,Filmed in Banaue Rice Terraces, Ifugao, Philippines,Filmed in Ifugao, Philippines,Filmed in Philippines,Filmed in Fayette County, GA,Action Adventure",Based on Comic/Graphic Novel,Action,"Animation,Live Action",Super Hero,Marvel Studios,United States,English,"April 27th, 2018 (Wide) byWalt DisneyApril 27th, 2018 (IMAX) byWalt Disney","April 25th, 2018 (Wide) (Australia)April 25th, 2018 (Wide) (France)April 25th, 2018 (Wide) (Hong Kong)April 25th, 2018 (Wide) (Indonesia)April 25th, 2018 (Wide) (Italy)... Show all releases","4,474 opening theaters/4,474 max. theaters, 7.7 weeks average run per theater",33.1,https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary
11,Pirates of the Caribbean: At World’s End,2007-05-24,300000000,309420425,960996492,309420425,651576067,960996492,299639533,7627144,307266677,114732820,2.7,484818620,2007-12-04,PG-13,167,Pirates of the Caribbean,"Pirates,Visual Effects,1700s,Motion Capture Performance,Supernatural,Action Adventure",Based on Theme Park Ride,Adventure,Live Action,Historical Fiction,"Walt Disney Pictures,Jerry Bruckheimer",United States,English,"May 24th, 2007 (Wide) byWalt Disney","May 25th, 2007 (Wide), released asPirates of the Caribbean: At World’s End (パイレーツ・オブ・カリビアン　ワー)(Japan)","4,362 opening theaters/4,362 max. theaters, 6.1 weeks average run per theater",32.2,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary
12,Justice League,2017-11-13,300000000,229024295,655945209,229024295,426920914,655945209,32584343,42214834,74799177,93842239,2.44,275173428,2018-02-13,PG-13,121,DC Extended Universe,"Ensemble,D.C. Comics,Cyborg,End of the World,Secret Identity,Surprise Twist,Alien Invasion,Scene in End Credits,Slow Motion Scene,Underwater,Set in Atlantis,Kidnap,Royalty,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"DC Films,RatPac Entertainment,Atlas Entertainment,Cruel and Unusual Films",United States,English,"November 17th, 2017 (Wide) byWarner Bros.","November 13th, 2017 (Wide) (South Korea)November 15th, 2017 (Wide) (Brazil)November 15th, 2017 (Wide) (France)November 15th, 2017 (Wide) (Indonesia)November 16th, 2017 (Wide) (China)... Show all releases","4,051 opening theaters/4,051 max. theaters, 5.5 weeks average run per theater",34.9,https://www.the-numbers.com/movie/Justice-League-(2017)#tab=summary
