Restaurant,Reviewer,Review,Metadata,Time,Pictures,7514,sentiment,cleaned_text
Beyond Flavours,Rusha Chakraborty,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective .
Good place for a sate brunch. One can also chill with friends and or parents.
Waiter Soumen Das was really courteous and helpful.","1 Review , 2 Followers",5/25/2019 15:54,0,2447.0,positive,ambience good food quite good saturday lunch cost effective good place sate brunch one also chill friend parent waiter soumen da really courteous helpful
Beyond Flavours,Anusha Tirumalaneedi,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,"3 Reviews , 2 Followers",5/25/2019 14:20,0,,positive,ambience good pleasant evening service prompt food good good experience soumen das kudos service
Beyond Flavours,Ashok Shekhawat,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) ....... Also the music in the background is amazing.,"2 Reviews , 3 Followers",5/24/2019 22:54,0,,positive,must try great food great ambience thnx service pradeep subroto personal recommendation penne alfredo pasta also music background amaze
Beyond Flavours,Swapnil Sarkar,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.","1 Review , 1 Follower",5/24/2019 22:11,0,,positive,soumen da arun great guy behavior sincerety good food course would like visit place
Beyond Flavours,Dileep,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,"3 Reviews , 2 Followers",5/24/2019 21:37,0,,positive,food good order kodi drumstick basket mutton biryani good thanks pradeep serve well enjoy ambience also good
Beyond Flavours,Nagabhavani K,"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",1 Review,5/24/2019 15:22,0,,positive,ambiance good service good food apradeecp subro best service food good papiya good hostess ur caption good 4star restaurant
Beyond Flavours,Jamuna Bhuwalka,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",1 Review,5/24/2019 1:02,0,,positive,nice place ambience different food order tasty service also gud worth visit reasonable well really must visit place
Beyond Flavours,Sandhya S,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,1 Review,5/23/2019 15:01,0,,positive,well read many review finally visit place ambience good come food crispy corn nice tawa fish ok basket biryani disappoint u biryani ok flatter claim staff polite prompt especially pradeep suman
Beyond Flavours,Akash Thorat,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party","1 Review , 1 Follower",5/22/2019 23:12,0,,positive,excellent food specially like spicy food courteous staff shubro pradeep papiya give excellent service corporate team dinner overall great team dinner party
Beyond Flavours,Smarak Patnaik,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.","1 Review , 1 Follower",5/22/2019 22:37,0,,positive,come birthday treat close friend perfect place treat like hospitable cooperative staff food delicious ambience really good music lighting chili honey lotus stem must try special mention papiya take good care u
