Restaurant,Reviewer,Review,Metadata,Time,Pictures,7514,sentiment,cleaned_text
Beyond Flavours,Kankaria.ritu,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",1 Review,5/22/2019 21:19,0,,negative,order corn cheese ball manchow soup paneer shashlik sizzler sizzler stale paneer smell waiter impolite even accept mistake never go
Beyond Flavours,Tejaswi Rao,"we went for a team lunch, such a worst restaurant.. food was tasteless, service was very slow and Ac was not working. We’ve requested them multiple times but its of no use. Please don’t waste your money and I strictly recommend not to prefer beyond flavours,","1 Review , 24 Followers",5/15/2019 3:26,0,,negative,go team lunch bad restaurant food tasteless service slow ac work request multiple time use please waste money strictly recommend prefer beyond flavour
Beyond Flavours,Mudit,"I have been at this place for dinner a few days back. The ambience was good. The restaurant was almost half occupied. We immediately got a table. But then waited for 10 mins to get water and menu, that too after a few reminders. We ordered a few starters, main course items and mock drinks. Only the starters could be served in 30 mins. There was no sign of mock drinks! We noticed similar service issues on other tables. Noticed guests literally shouting on the staff.

The food was just average. Dishes were not prepared well, at least when compared to 4.1 rating on Zomato.

We finally decided to just have starters, and hop onto another restaurant for rest of the meal!","1 Review , 2 Followers",5/12/2019 8:37,0,,negative,place dinner day back ambience good restaurant almost half occupied immediately get table wait 10 min get water menu reminder order starter main course item mock drink starter could serve 30 min sign mock drink notice similar service issue table notice guest literally shout staff food average dish prepare well least compare rating zomato finally decide starter hop onto another restaurant rest meal
Beyond Flavours,Surya Sharma,"Hostile staff, okeish food, not so great ambiance. Not sure how the rating on zomato stands at 4.1
Starters we're decent but main course was horrible.
Will not suggest this place.","2 Reviews , 10 Followers",5/10/2019 23:24,0,,negative,hostile staff okeish food great ambiance sure rating zomato stand starter decent main course horrible suggest place
Beyond Flavours,Parshwa Shah,Food quality and taste is not good. Super slow service. Nice ambience but very poor in customer handling. Lot of items not available even if in the menu.,"3 Reviews , 1 Follower",5/9/2019 14:48,0,,negative,food quality taste good super slow service nice ambience poor customer handling lot item available even menu
Beyond Flavours,Sreshta Ladegaam,"This was my worst experience at a restaurant ever. First our starters were served after half an hour of ordering and the chicken popcorn had a hair strand in it yuck! Then the guy who took our main course order forgot about it completely so we had to order again after waiting for almost an hour. Then had to wait for another half hour to get our food. And the worst of all, they got us chicken lasagna instead of veg lasagna. We figured out that it was chicken right before one of my staunch vegetarian friend almost ate it. I do not recommend this place at all. There are so many better places in Gachibowli that could save your time and provide better service.","25 Reviews , 722 Followers",5/9/2019 12:37,0,,negative,bad experience restaurant ever first starter serve half hour ordering chicken popcorn hair strand yuck guy take main course order forget completely order wait almost hour wait another half hour get food bad get u chicken lasagna instead veg lasagna figure chicken right one staunch vegetarian friend almost eat recommend place many good place gachibowli could save time provide good service
Beyond Flavours,Trupti Dhongdi,"Had a very bad experience here
beyond flavours really puts you beyond all the flavours
had gone here for dinner and the next day had to get hospitalised because of food infection
I guess the food was not served fresh","12 Reviews , 5 Followers",5/8/2019 14:35,0,,negative,bad experience beyond flavour really put beyond flavour go dinner next day get hospitalised food infection guess food serve fresh
Beyond Flavours,Lakshmi Prasanna,I liked the food and ambience but the problem is with the staff.. they are not so responsive.. we’ve ordered one item but we got something else.. otherwise place and the food are good..,"3 Reviews , 6 Followers",5/6/2019 11:37,1,,negative,like food ambience problem staff responsive order one item get something else otherwise place food good
Beyond Flavours,S Santhosh,It’s a worst service experience. Food was OK. They took 45mins to get veg pulav. Never seen a restaurant to take such time. Won’t visit again.,"1 Review , 1 Follower",5/5/2019 22:39,0,,negative,bad service experience food ok take 45mins get veg pulav never see restaurant take time visit
Beyond Flavours,Farheen Shaik,Waiters are not good enough and you will get items which you have not ordered. Overall a bad experience. Waiting time is more than expected...,1 Review,5/5/2019 22:10,0,,negative,waiter good enough get item order overall bad experience wait time expect
Beyond Flavours,Yaswanth Chowdary,"Pathetic and horrible experience
Ambience and hospitality 1
Food 1
chairs and tables were broken food is cold and tasteless
Buffet arrangement is not good could be a bit more spacious","4 Reviews , 56 Followers",5/3/2019 11:40,0,,negative,pathetic horrible experience ambience hospitality food chair table break food cold tasteless buffet arrangement good could bit spacious
Paradise,Chandrakanth Rachakonda,"I have ordered 2 special chicken biryani's and received two ordinary biryani's with bones! This is a big time disappointment. This place was known for its Biryani and now I feel like I have had a worst biryani.

It costed 400 bucks each and receiving the same 200 bucks biryani has been my worst experience.","2 Reviews , 3 Followers",5/24/2019 14:22,1,,negative,order special chicken biryani receive two ordinary biryani bone big time disappointment place know biryani feel like worst biryani cost 400 buck receive 200 buck biryani bad experience
Paradise,Surendra Sethi,"Very bad dine in experience I had with this restaurant. We booked this place for office lunch with some instructions, but none of them met by the restaurant. Overall very bad experience",3 Reviews,5/22/2019 17:22,0,,negative,bad dine experience restaurant book place office lunch instruction none meet restaurant overall bad experience
Paradise,Kaus,"Mumbaikars have heard about the famous paradise restaurant... Hence decided to try out this one with great hope.
Ambience at this place is great; however i was not really impressed with the food and service.

We ordered :
Chilli chicken : 2.5/ 5
Paneer tikka : 3.5/5
Chicken masala : 0.1/5 ... lowest rating possible
Chicken biryani: 3/5
Garlic naan: 2/5

The staff were least bothered and kept us waiting for like 20 mins jus to take order and after all that the food was very disappointing. This is only a much hyped restaurant. I would not go and recommend this place to anyone for frequent dine experience.","7 Reviews , 2 Followers",5/16/2019 20:26,0,,negative,mumbaikars hear famous paradise restaurant hence decide try one great hope ambience place great however really impressed food service order chilli chicken paneer tikka chicken masala low rating possible chicken biryani garlic naan staff least bothered keep u wait like 20 min jus take order food disappointing much hype restaurant would go recommend place anyone frequent dine experience
Flechazo,Vivek Vuppala,We were 4 people who visited this place on Thursday night....Ambience and service are good .Food is disappointed.Not worth for money we pay.,"2 Reviews , 40 Followers",5/24/2019 21:17,0,,negative,people visit place thursday night ambience service good food disappoint worth money pay
Flechazo,Giri S,"Hi
This time, we are not satisfied in flechazo.. Starters are not much hot.. most of them are room temparature or little warm.. we have asked for fish starter.. we got only two pieces.. bbq wings are not good.. tooo hard... mango chilli prawns not much tasty... only maida coating smell.. no flavour nothing... we are not happy with flechazo, gachibowli...",4 Reviews,5/19/2019 17:06,0,,negative,hi time satisfy flechazo starter much hot room temparature little warm ask fish starter get two piece bbq wing good tooo hard mango chilli prawn much tasty maida coat smell flavour nothing happy flechazo gachibowli
Flechazo,Rupayan Banerjee,It is seldom you see a restaurant with 4.9 rating. My friend and I had come with great expectations. But the restaurant didn't manage to live up to any of it. Even the 2 rating is because the staff was very polite and we had no complains there. Coming to the food: the sushi isn't good. The chef isn't aware that you don't give mayonnaise on sushi but wasabi. The starters were okay and we didn't repeat anything. In spite of being non vegetarians the only item we liked was the crispy corn. Then in aglio olio they used macaroni. The main course had a terrible array of dishes. And none was good. The biriyani had no chicken. The couscous salad had just quinoa and olives. The chocolate ice cream had an overdose of milk. All in all a very forgettable experience. However to reiterate the staff was good and after we politely told him about our experience he insisted on providing something special.,"11 Reviews , 80 Followers",5/1/2019 22:57,0,,negative,seldom see restaurant rating friend come great expectation restaurant manage live even rating staff polite complains come food sushi good chef aware give mayonnaise sushi wasabi starter okay repeat anything spite non vegetarian item like crispy corn aglio olio use macaroni main course terrible array dish none good biriyani chicken couscous salad quinoa olives chocolate ice cream overdose milk forgettable experience however reiterate staff good politely tell experience insist provide something special
Flechazo,Esta Philips,"Apart from the starters; the main course, dessert, the wonky table we sat on was just a big disappointment. The ice cream was made with just cream and chocolate sauce with dry ice and that is not good.","1 Review , 1 Follower",5/1/2019 14:14,0,,negative,apart starter main course dessert wonky table sit big disappointment ice cream make cream chocolate sauce dry ice good
Flechazo,Shyam Jampala,"Liked the food it's was good but not anything special or memorable, good service but I do not appreciate how the waiters pestered me into writing a review. No wonder this place a high rating staff will keep bugging you till you write a good review","3 Reviews , 42 Followers",4/21/2019 8:20,0,,negative,like food good anything special memorable good service appreciate waiter pester write review wonder place high rating staff keep bugging till write good review
Shah Ghouse Hotel & Restaurant,Sandeep Sood,"Food is good, but for the second time around they didn't send us our complete order. Had ordered 4 Naans, got only 2. Also got Daal Tadka instead of Daal Makhani. Not sure if its the Ramadaan rush, but now twice in a row our online orders thru Zomato have been messed up. Probably will avoid going forward.","1 Review , 3 Followers",5/20/2019 12:42,0,,negative,food good second time around send u complete order order naan get also get daal tadka instead daal makhani sure ramadaan rush twice row online order thru zomato mess probably avoid go forward
Shah Ghouse Hotel & Restaurant,Dinesh Jana,"Its a worst thing happened with me.we ordered for mutton family pack.here i got chicken familypack🙄i dont know who's neglegance is this..either restaurant person or delivery boy...i made a call to restaurent to know what's the problem is,but they are not responding at all..please check when you asked for food delivery....","5 Reviews , 5083 Followers",5/19/2019 23:08,0,,negative,bad thing happen order mutton family pack get chicken familypacki dont know neglegance either restaurant person delivery boy make call restaurent know problem respond please check ask food delivery
Shah Ghouse Hotel & Restaurant,Ravi Munagala,"I have placed order for Mutton Haleem Special - 3 Qty and Biryani Rice - 1 Qty. Shah Ghouse and Zomoto together delivered shortage of Mutton Haleem Special - 1 Qty, informed to deliver executive while collecting parcel and reportes to Zomoto support. Zomoto team said that no response from Shah Ghouse regarding shortage delivery. Finall Zomoto also not confirmed anything and accepted refund only missed item value. Packing also very unhygienic. Totally upset with Shah Ghouse and Zomoto.",1 Review,5/19/2019 21:50,0,,negative,place order mutton haleem special qty biryani rice qty shah ghouse zomoto together delivered shortage mutton haleem special qty inform deliver executive collect parcel report zomoto support zomoto team say response shah ghouse regard shortage delivery finall zomoto also confirm anything accept refund miss item value pack also unhygienic totally upset shah ghouse zomoto
Shah Ghouse Hotel & Restaurant,Arafath Ayubkhan,"I heard Haleem will be so good, etc etc but taste is not that great as others said. Just boiled the meat and grinded like paste. Nothing special in it","1 Review , 1 Follower",5/19/2019 18:19,0,,negative,heard haleem good etc etc taste great others say boil meat grind like paste nothing special
Shah Ghouse Hotel & Restaurant,Sandeep Khandekar,"Ordered kaju panner, they have delivered chicken curry. So disappointed. Enquired with Zomato delivery boy he says we just pick the item and come.",1 Review,5/19/2019 2:13,0,,negative,order kaju panner deliver chicken curry disappointed enquire zomato delivery boy say pick item come
Shah Ghouse Hotel & Restaurant,Sumender Reddy,I ordered mutton biryani for lunch today. The mutton was not cooked properly. It was hard and unchewable. I had high expectations from this restaurant as I had heard good feedback from a friend. I was really dissapointed.,1 Review,5/18/2019 18:35,0,,negative,order mutton biryani lunch today mutton cook properly hard unchewable high expectation restaurant hear good feedback friend really dissapointed
Shah Ghouse Hotel & Restaurant,Deepali Yadav,They send me wrong order I ordered mutton biryani and they send me chicken biryani and this app is worst app we can't even get in touch with customer care.,1 Review,5/17/2019 14:46,0,,negative,send wrong order order mutton biryani send chicken biryani app bad app even get touch customer care
Shah Ghouse Hotel & Restaurant,Netti Netti,"When you will order ,you will get other item ..surprising restaurant..wheather you order chiken you will always get veg cheap cost item. Better to don't order food my suggestion ..because I ordered more then twice got less cost cheap unordered item ..save money",1 Review,5/7/2019 23:39,0,,negative,order get item surprising restaurant wheather order chiken always get veg cheap cost item well order food suggestion order twice get less cost cheap unordered item save money
Shah Ghouse Hotel & Restaurant,Kishore Valdas,The waiters were very rude that the hotel is very busy...if you ask for starters and soups they say it will late order biryani🤨🤨...Inam shocked with their behaviour with customers,1 Review,5/3/2019 21:40,0,,negative,waiter rude hotel busy ask starter soup say late order biryani inam shock behaviour customer
Shah Ghouse Hotel & Restaurant,Tyson Sairaj,"The contact number in the true caller shows best cheaters in the world... Good
I had ordered for mutton biryani nd I got noodles which are ugly... Wow I am so happy for that
Good keep it up(bullshit)
How careless they are for delivering this type of service to customer who orders for food
This is really disgusting and bullshit
I suggest everyone not to order any food from this restaurant(Shah ghouse gachibowli)
Better remove service from zomato
Many of our friends had many issues from this restaurant, like delivering different food from ordered food, and delivering one shawarma instead of two and others
Zomato authority should take of all these problems which are spoiling the name and fame","1 Review , 1 Follower",5/3/2019 18:07,1,,negative,contact number true caller show best cheater world good order mutton biryani nd get noodle ugly wow happy good keep bullshit careless deliver type service customer order food really disgusting bullshit suggest everyone order food restaurant shah ghouse gachibowli well remove service zomato many friend many issue restaurant like deliver different food order food deliver one shawarma instead two others zomato authority take problem spoil name fame
Shah Ghouse Hotel & Restaurant,Nikhil Mucherla,"I ordered an egg biriyani and got a chicken piece in it, disgusting! Never ever going to order from this restaurant again. Disappointed.....",1 Review,4/28/2019 17:44,0,,negative,order egg biriyani get chicken piece disgust never ever go order restaurant disappointed
Shah Ghouse Hotel & Restaurant,Kiran Bishaj,"Ordered veg biryani here, the vegetables they used especially beans are awful. The are almost became like drumstick on chewing and cant eat them. Will never order again neither recommend to any.","17 Reviews , 2 Followers",4/24/2019 15:31,0,,negative,order veg biryani vegetable use especially bean awful almost become like drumstick chewing cant eat never order neither recommend
Shah Ghouse Hotel & Restaurant,G V Satish,"Worst food, no quality this would be the worst biryani I ever i had in my entire life. This the chicken biryani without chicken and the chicken is mashed up and keema and I would say this is chicken keema biryani 🤣🤣🤣.","1 Review , 1 Follower",4/21/2019 20:50,1,,negative,bad food quality would bad biryani ever entire life chicken biryani without chicken chicken mash keema would say chicken keema biryani
