review_date,handle,helpfulness_rating,review,sentiment,combined_text,cleaned_text,num_tokens
14-Apr-18,The Dolphin,513,"Delightful coffee maker if you’re only looking to use it for one year. The design of this is so flawed, you’ll find the flow of the pour decreasing... and decreasing... and decreasing, all the while cleaning it as it instructs you to do. It never gets clean, but that does not stop it from wanting more cleaning. It will take you 68 minutes to fill one cup of coffee, as it trickles out at the speed of an icicle melting in 33 degree weather. Then, one day you’ll notice more coffee on your countertop than your cup. You’ll assume that you’re just tired and mistakingly spilling your coffee in your non caffeinated state. You take the blame. It’s not you. Hamilton Beach is against you. They designed this machine to slowly test your patience and convince you that you’re insane. It torments you with request to clean, fully knowing... it can never be cleaned. It will toy with your emotions until one day you crack and throw it out the front door. Or so I’ve heard. I “would never do such a thing.”",negative,"Delightful coffee maker if you’re only looking to use it for one year. The design of this is so flawed, you’ll find the flow of the pour decreasing... and decreasing... and decreasing, all the while cleaning it as it instructs you to do. It never gets clean, but that does not stop it from wanting more cleaning. It will take you 68 minutes to fill one cup of coffee, as it trickles out at the speed of an icicle melting in 33 degree weather. Then, one day you’ll notice more coffee on your countertop than your cup. You’ll assume that you’re just tired and mistakingly spilling your coffee in your non caffeinated state. You take the blame. It’s not you. Hamilton Beach is against you. They designed this machine to slowly test your patience and convince you that you’re insane. It torments you with request to clean, fully knowing... it can never be cleaned. It will toy with your emotions until one day you crack and throw it out the front door. Or so I’ve heard. I “would never do such a thing.”",delightful coffee maker look use one year design flaw find flow pour decreasing decreasing decrease clean instruct never get clean stop want clean take 68 minute fill one cup coffee trickle speed icicle melting 33 degree weather one day notice coffee countertop cup assume tire mistakingly spill coffee non caffeinated state take blame hamilton beach design machine slowly test patience convince insane torment request clean fully know never clean toy emotion one day crack throw front door heard would never thing,81
23-Jan-19,Pauline Matthews,76,"I loved the convenience of having a coffee brewer that kept the coffee hot for a few hours. I was satisfied with the product until I woke up one morning with  the remaining coffee left in the pot overnight all over my countertop. I read the instruction booklet, cleaned the pot as instructed and made more coffee only to have the same thing happen again. This happened several times in a row over several days of use. I finally got frustrated and bought another coffee pot. I am not writing to complain or ask for a refund, but simply to inform you that the pot I got from you was defective so that you can check it out for yourselves. The problem I had happened from the site where you pushed the cup against the pot to fill it with coffee. It never shut completely and continued to drip until the pot was empty of any remaining coffee. Easy to replace a pot, but not so easy to replace a counter top or a cabinet.",negative,"I loved the convenience of having a coffee brewer that kept the coffee hot for a few hours. I was satisfied with the product until I woke up one morning with  the remaining coffee left in the pot overnight all over my countertop. I read the instruction booklet, cleaned the pot as instructed and made more coffee only to have the same thing happen again. This happened several times in a row over several days of use. I finally got frustrated and bought another coffee pot. I am not writing to complain or ask for a refund, but simply to inform you that the pot I got from you was defective so that you can check it out for yourselves. The problem I had happened from the site where you pushed the cup against the pot to fill it with coffee. It never shut completely and continued to drip until the pot was empty of any remaining coffee. Easy to replace a pot, but not so easy to replace a counter top or a cabinet.",love convenience coffee brewer keep coffee hot hour satisfy product wake one morning remain coffee leave pot overnight countertop read instruction booklet clean pot instructed make coffee thing happen happen several time row several day use finally get frustrate buy another coffee pot write complain ask refund simply inform pot get defective check problem happen site push cup pot fill coffee never shut completely continue drip pot empty remain coffee easy replace pot easy replace counter top cabinet,78
26-Feb-17,Ivan Veraja,92,"Bought this coffee maker in September 2016 - less than 6 months ago. It was great at first, really liked the design. But now the paint/plastic inside the coffee reservoir is corroding off INTO THE COFFEE. Every time I rinse it out flecks of black paint/plastic come washing out as well - lots of flecks. It's coming off from the little windows that let you know how much coffee is left, and also along the bottom of the reservoir. I can't imagine having paint & plastic steeping in our coffee is good for us. Time to go back to a regular coffee maker with glass carafe.",negative,"Bought this coffee maker in September 2016 - less than 6 months ago. It was great at first, really liked the design. But now the paint/plastic inside the coffee reservoir is corroding off INTO THE COFFEE. Every time I rinse it out flecks of black paint/plastic come washing out as well - lots of flecks. It's coming off from the little windows that let you know how much coffee is left, and also along the bottom of the reservoir. I can't imagine having paint & plastic steeping in our coffee is good for us. Time to go back to a regular coffee maker with glass carafe.",buy coffee maker september 2016 less month ago great first really like design paint plastic inside coffee reservoir corrode coffee every time rinse fleck black paint plastic come wash well lot fleck come little window let know much coffee leave also along bottom reservoir imagine paint plastic steeping coffee good u time go back regular coffee maker glass carafe,59
8-Jun-18,CaffinatedWolf,50,"To start with, the unit came with only 2 rubber feet, both on the backside of the bottom, so it didn't sit level on the counter, AND when you push your cup onto the button to get coffee, the entire unit slides on the counter unless you hold it in place because it doesn't have all 4 rubber feet.  Second, I love dark roast coffee, but the coffee tastes burned, regardless which brew setting you use. Third, and last but not least, Hamilton Beach customer service is either unknowledgable or unwilling to even send me a set of rubber feet to rectify the sliding across the counter situation.  In fact, I was told by Hamilton Beach customer support that this unit only comes with 2 rubber feet, and they do not offer the rubber feet as a replacement or warranty part.  I have had several products from Hamilton Beach in the past, and they were decent quality, but after this I will no longer buy anything producted by them.",negative,"To start with, the unit came with only 2 rubber feet, both on the backside of the bottom, so it didn't sit level on the counter, AND when you push your cup onto the button to get coffee, the entire unit slides on the counter unless you hold it in place because it doesn't have all 4 rubber feet.  Second, I love dark roast coffee, but the coffee tastes burned, regardless which brew setting you use. Third, and last but not least, Hamilton Beach customer service is either unknowledgable or unwilling to even send me a set of rubber feet to rectify the sliding across the counter situation.  In fact, I was told by Hamilton Beach customer support that this unit only comes with 2 rubber feet, and they do not offer the rubber feet as a replacement or warranty part.  I have had several products from Hamilton Beach in the past, and they were decent quality, but after this I will no longer buy anything producted by them.",start unit come rubber foot backside bottom sit level counter push cup onto button get coffee entire unit slide counter unless hold place rubber foot second love dark roast coffee coffee taste burn regardless brew set use third last least hamilton beach customer service either unknowledgable unwilling even send set rubber foot rectify sliding across counter situation fact tell hamilton beach customer support unit come rubber foot offer rubber foot replacement warranty part several product hamilton beach past decent quality longer buy anything producted,84
12-Apr-18,Michael Strausbaugh,46,"At first I had given this coffee maker a five star, thought it was great. I was completely wrong. It leaks all the time. I had to stop using because inside where the coffee goes is coming off. When I rinse it out little black chunk's of the paint is coming off. Very unsafe. Was even getting head aches. Major health issue. DO NOT BUY!!!!",negative,"At first I had given this coffee maker a five star, thought it was great. I was completely wrong. It leaks all the time. I had to stop using because inside where the coffee goes is coming off. When I rinse it out little black chunk's of the paint is coming off. Very unsafe. Was even getting head aches. Major health issue. DO NOT BUY!!!!",first give coffee maker five star think great completely wrong leak time stop use inside coffee go come rinse little black chunk paint come unsafe even get head ache major health issue buy,33
9-Nov-17,Mary B,36,"So this was my third Hamilton Beach coffee maker in 7 years and each one has been worse then the first. Simply put, its leaks. I biought this one in March of 2017. It didnt even make it a year. Its leaking and make a mess all over my kitchen counter. Don't waste your money.",negative,"So this was my third Hamilton Beach coffee maker in 7 years and each one has been worse then the first. Simply put, its leaks. I biought this one in March of 2017. It didnt even make it a year. Its leaking and make a mess all over my kitchen counter. Don't waste your money.",third hamilton beach coffee maker year one bad first simply put leak biought one march 2017 didnt even make year leaking make mess kitchen counter waste money,27
30-Jan-20,Smokiechick,9,"I have owned several versions of the Hamilton Beach BrewStation over the years. I have never been disappointed with them before. First time for everything. I have a large family and brew 12 cups every morning. It takes 4 to fill my travel mug. It's been just over a month since the new one arrived and it's disappointing. Halfway through brewing, it stops. Just stops like it thinks it's done. I've figured out that if I turn it off and back on again it will finish the pot. That just seems like an unnecessary step, to me. ADDENDUM: It's not broken. It's just overly dramatic. Took the time to do a good clean of the system and it works like a champ again. You would think it could turn on the ""Clean"" on the display; but, it would rather just stop working and give you the silent treatment. Because you know what you did and it shouldn't have to tell you.",negative,"I have owned several versions of the Hamilton Beach BrewStation over the years. I have never been disappointed with them before. First time for everything. I have a large family and brew 12 cups every morning. It takes 4 to fill my travel mug. It's been just over a month since the new one arrived and it's disappointing. Halfway through brewing, it stops. Just stops like it thinks it's done. I've figured out that if I turn it off and back on again it will finish the pot. That just seems like an unnecessary step, to me. ADDENDUM: It's not broken. It's just overly dramatic. Took the time to do a good clean of the system and it works like a champ again. You would think it could turn on the ""Clean"" on the display; but, it would rather just stop working and give you the silent treatment. Because you know what you did and it shouldn't have to tell you.",own several version hamilton beach brewstation year never disappoint first time everything large family brew 12 cup every morning take fill travel mug month since new one arrive disappointing halfway brew stop stop like think do figure turn back finish pot seem like unnecessary step addendum break overly dramatic take time good clean system work like champ would think could turn clean display would rather stop work give silent treatment know tell,72
22-Apr-18,Aaron Johnson,19,This is my second Hamilton Beach dispenser style coffee maker. I had the older version for 7-8 years and loved it. When it came time to replace it- I of course wanted the same type. This model was updated with the water reservoir on the side- which is an improvement. Unfortunately- they have downgraded to very cheap plastic for the body and components. I dropped the water reservoir in my sink when filling it one morning and the hinge for the lid broke off on one side because it is thin plastic. The dispenser button sticks inside the frame of the body continuously which pours coffee all over my counter. It happens about 50% of the time when dispensing. I have to use the end of a spoon or fork to pull the dispensing button out of the frame which stops the coffee from flowing. I never had this issue with the old design in 7-8 years. Hamilton Beach needs to fix this- it is a major issue.,negative,This is my second Hamilton Beach dispenser style coffee maker. I had the older version for 7-8 years and loved it. When it came time to replace it- I of course wanted the same type. This model was updated with the water reservoir on the side- which is an improvement. Unfortunately- they have downgraded to very cheap plastic for the body and components. I dropped the water reservoir in my sink when filling it one morning and the hinge for the lid broke off on one side because it is thin plastic. The dispenser button sticks inside the frame of the body continuously which pours coffee all over my counter. It happens about 50% of the time when dispensing. I have to use the end of a spoon or fork to pull the dispensing button out of the frame which stops the coffee from flowing. I never had this issue with the old design in 7-8 years. Hamilton Beach needs to fix this- it is a major issue.,second hamilton beach dispenser style coffee maker old version year love come time replace course want type model update water reservoir side improvement unfortunately downgrade cheap plastic body component drop water reservoir sink fill one morning hinge lid break one side thin plastic dispenser button stick inside frame body continuously pour coffee counter happen 50 time dispense use end spoon fork pull dispense button frame stop coffee flow never issue old design year hamilton beach need fix major issue,79
10-Mar-18,ButchJ,19,"This is the worst  coffee maker that I have ever used in my 55 years of making coffee.. It does not heat the water enough to actually cook the coffee. The coffee is luke warm at best when pouring into the cup. It is difficult pouring the coffee into the cup.You have to hold the back of the coffee maker in order to push the button so the coffee will pour into the cup. Sadly I disposed of the original box so I cannot return it. This coffee maker is so bad, I won't give it to Goodwill or to a friend. It will go in the trash where it belongs.Don't buy this junk!",negative,"This is the worst  coffee maker that I have ever used in my 55 years of making coffee.. It does not heat the water enough to actually cook the coffee. The coffee is luke warm at best when pouring into the cup. It is difficult pouring the coffee into the cup.You have to hold the back of the coffee maker in order to push the button so the coffee will pour into the cup. Sadly I disposed of the original box so I cannot return it. This coffee maker is so bad, I won't give it to Goodwill or to a friend. It will go in the trash where it belongs.Don't buy this junk!",bad coffee maker ever use 55 year make coffee heat water enough actually cook coffee coffee luke warm best pour cup difficult pour coffee cup hold back coffee maker order push button coffee pour cup sadly dispose original box cannot return coffee maker bad give goodwill friend go trash belong buy junk,52
15-Jan-18,Dorothy G.,18,Bought this a little over 3 months ago. It leaked for the first few days and then stopped. About a month ago it started leaking again and the leaking just got worse and worse. Hamilton Beach just has not mastered this type of technology. We are going back to the old brewmaster which we’ve had for the last five plus years and we’re happy with😞.,negative,Bought this a little over 3 months ago. It leaked for the first few days and then stopped. About a month ago it started leaking again and the leaking just got worse and worse. Hamilton Beach just has not mastered this type of technology. We are going back to the old brewmaster which we’ve had for the last five plus years and we’re happy with😞.,buy little month ago leak first day stop month ago start leak leaking get bad bad hamilton beach master type technology go back old brewmaster last five plus year happy,30
