review_date,handle,helpfulness_rating,review,sentiment,combined_text,cleaned_text,num_tokens
25-Jul-18,L. L.,41,"I've purchased every brand out there over 30 years, I like this one better, so far. It makes great ""Hot"" coffee, is easy to use, also makes a fast cup of coffee or a full pot, (((quietly)), which I love!!  I'd give it a ""5"" stars but after it's done..it's really wet when you open the lid..even hours later...to take out the grounds, or make another pot, it just stays wet and makes for a mess any time you open that lid. Otherwise it's a good value for the money..I've paid a lot more, for other coffee makers brands, and not had coffee be as hot as this one ( I like it that way) or be so quiet. Arrived fast and securely.Over all a good value for me.I never tried this brand before, it's a pleasant surprise..",positive,"I've purchased every brand out there over 30 years, I like this one better, so far. It makes great ""Hot"" coffee, is easy to use, also makes a fast cup of coffee or a full pot, (((quietly)), which I love!!  I'd give it a ""5"" stars but after it's done..it's really wet when you open the lid..even hours later...to take out the grounds, or make another pot, it just stays wet and makes for a mess any time you open that lid. Otherwise it's a good value for the money..I've paid a lot more, for other coffee makers brands, and not had coffee be as hot as this one ( I like it that way) or be so quiet. Arrived fast and securely.Over all a good value for me.I never tried this brand before, it's a pleasant surprise..",purchase every brand 30 year like one good far make great hot coffee easy use also make fast cup coffee full pot quietly love give star do really wet open lid even hour later take ground make another pot stay wet make mess time open lid otherwise good value money pay lot coffee maker brand coffee hot one like way quiet arrive fast securely good value never try brand pleasant surprise,71
20-May-17,Warnali,52,"We have had this coffee maker for two days now and it is by far the best one we have purchased. I read the reviews before buying and I have to say, some aren't fair. The coffee maker basically comes ready to use when you buy it. To put the water in it, is not hard and it doesn't make a mess if you pour it correctly. It's very easy to use, we did not read any instructions. The temperature of the coffee is perfect. When and if this does break, we will be purchasing again. It does in fact beep, very low (once), it will not wake anyone up.",positive,"We have had this coffee maker for two days now and it is by far the best one we have purchased. I read the reviews before buying and I have to say, some aren't fair. The coffee maker basically comes ready to use when you buy it. To put the water in it, is not hard and it doesn't make a mess if you pour it correctly. It's very easy to use, we did not read any instructions. The temperature of the coffee is perfect. When and if this does break, we will be purchasing again. It does in fact beep, very low (once), it will not wake anyone up.",coffee maker two day far best one purchase read review buying say fair coffee maker basically come ready use buy put water hard make mess pour correctly easy use read instruction temperature coffee perfect break purchase fact beep low wake anyone,41
22-Jan-19,J. Crumley,8,"I have had numerous coffee makers... including two different kinds of Keurigs.  This is the absolute most favorite out of all coffee makers I have ever had.  It is so easy to use, and clean.  It keeps coffee hot up to four hours.  Or you can even make cold coffee too.  It comes out as like a soda machine.  No more heavy coffee pots for hurting hands.  Kcups are too expensive if you like to realllly drink coffee.  You just add water to the (detachable) reservoir  - how ever much you want  - put the coffee in on top and press a button!  That is it!  It can even be programmed to make coffee at whatever time your heart desires.  This is the BEST ever!!",positive,"I have had numerous coffee makers... including two different kinds of Keurigs.  This is the absolute most favorite out of all coffee makers I have ever had.  It is so easy to use, and clean.  It keeps coffee hot up to four hours.  Or you can even make cold coffee too.  It comes out as like a soda machine.  No more heavy coffee pots for hurting hands.  Kcups are too expensive if you like to realllly drink coffee.  You just add water to the (detachable) reservoir  - how ever much you want  - put the coffee in on top and press a button!  That is it!  It can even be programmed to make coffee at whatever time your heart desires.  This is the BEST ever!!",numerous coffee maker include two different kind keurigs absolute favorite coffee maker ever easy use clean keep coffee hot four hour even make cold coffee come like soda machine heavy coffee pot hurt hand kcups expensive like realllly drink coffee add water detachable reservoir ever much want put coffee top press button even program make coffee whatever time heart desire best ever,62
21-Aug-16,kissesofhope26,18,"There are few things more depressing than loosing a beloved coffee maker, but that's what happened to us. Our old work horse started failing and we needed a new one. In comes this coffee maker to completely resurrect us from the dulldrums left by our former, caffeine-wielding friend. The setup was super quick and easy and off we were. The lack of coffee urn is a HUGE plus and the fact that water reservoir is removable makes the clean freak in me jump for joy. How was the first pot of coffee, you ask? Fan-freaking-tastic!! The coffee was hotter than our previous maker that supposedly had a setting to make it hotter.",positive,"There are few things more depressing than loosing a beloved coffee maker, but that's what happened to us. Our old work horse started failing and we needed a new one. In comes this coffee maker to completely resurrect us from the dulldrums left by our former, caffeine-wielding friend. The setup was super quick and easy and off we were. The lack of coffee urn is a HUGE plus and the fact that water reservoir is removable makes the clean freak in me jump for joy. How was the first pot of coffee, you ask? Fan-freaking-tastic!! The coffee was hotter than our previous maker that supposedly had a setting to make it hotter.",thing depressing loose beloved coffee maker happen u old work horse start fail need new one come coffee maker completely resurrect u dulldrums leave former caffeine wield friend setup super quick easy lack coffee urn huge plus fact water reservoir removable make clean freak jump joy first pot coffee ask fan freak tastic coffee hot previous maker supposedly set make hot,61
6-Sep-20,Barbara Wojtanoski,One,"l bought this coffee  pot in Nov.2019. In less than a week I found water on my counter !! thought I spilled water while filling it. ok so I wiped it up later went to get another cup of coffee it filled my cup but the coffee was all gone!!!! I made 12 cups  and was only my 2nd cup,What the heck!!!! I noticed coffee around the edge of the coffee maker I pulled it out AND THERE IS coffee ALL over the counter. I unplugged it took the basket & the part the holds the coffee and under it all was filled with coffee  well that same day it shorted  out. Many other people reported this same thing,I WILL READ ALL the reviews of products before I buy it. Hamilton Beach I so ashamed of you knowing that this product was defective and DIDN'T put out a recalls . It could have caught my house on fire. DON'T BUY THIS PRODUCT ITS NOT SAFE.",positive,"l bought this coffee  pot in Nov.2019. In less than a week I found water on my counter !! thought I spilled water while filling it. ok so I wiped it up later went to get another cup of coffee it filled my cup but the coffee was all gone!!!! I made 12 cups  and was only my 2nd cup,What the heck!!!! I noticed coffee around the edge of the coffee maker I pulled it out AND THERE IS coffee ALL over the counter. I unplugged it took the basket & the part the holds the coffee and under it all was filled with coffee  well that same day it shorted  out. Many other people reported this same thing,I WILL READ ALL the reviews of products before I buy it. Hamilton Beach I so ashamed of you knowing that this product was defective and DIDN'T put out a recalls . It could have caught my house on fire. DON'T BUY THIS PRODUCT ITS NOT SAFE.",buy coffee pot nov 2019 less week find water counter think spilled water fill ok wipe later go get another cup coffee fill cup coffee go make 12 cup 2nd cup heck notice coffee around edge coffee maker pull coffee counter unplug take basket part hold coffee fill coffee well day short many people report thing read review product buy hamilton beach ashamed know product defective put recall could catch house fire buy product safe,75
17-Feb-21,Michael A. Katz,,"This Coffee Maker was very well thought out with only a few exceptions. Using the tank to fill the water limits you to exactly 12 cups where the older Brew Station, you were actually able to get 14 cups out of. Emptying the water is a bit more difficult until you get the hang of it but I recommend keeping a towel under it while filling. I still would recommend this product if you don't like decanters. Pros, great coffee, fairly easy to clean, Tank shows coffee lever on both sides. Cons, more difficult to fill compared to old Brew Station until you get the hang of it, can't make more than 12 cups at a time as compared to the older Brew Station and the rubber feet are undersized and come out when you slide the Brew Station into place.",positive,"This Coffee Maker was very well thought out with only a few exceptions. Using the tank to fill the water limits you to exactly 12 cups where the older Brew Station, you were actually able to get 14 cups out of. Emptying the water is a bit more difficult until you get the hang of it but I recommend keeping a towel under it while filling. I still would recommend this product if you don't like decanters. Pros, great coffee, fairly easy to clean, Tank shows coffee lever on both sides. Cons, more difficult to fill compared to old Brew Station until you get the hang of it, can't make more than 12 cups at a time as compared to the older Brew Station and the rubber feet are undersized and come out when you slide the Brew Station into place.",coffee maker well think exception use tank fill water limit exactly 12 cup old brew station actually able get 14 cup empty water bit difficult get hang recommend keep towel fill still would recommend product like decanter pros great coffee fairly easy clean tank show coffee lever side con difficult fill compare old brew station get hang make 12 cup time compare old brew station rubber foot undersized come slide brew station place,73
17-Jul-21,Amy H,,"I was skeptical because of a few negative reviews.. But we've had this for a few weeks now and so far it's great! We switched from a 6 year old Keurig 2.0 that was starting to act up. I love the programmable settings for both brewing and how long to keep the coffee hot. (I know this is not a new concept but a regular coffee maker tends to 'burn' the coffee as it keeps it warm) He leaves for work at 4:30 a.m. and I leave 3 hours later. We set it up the night before to be ready when he wakes up and the coffee is still hot when I get up, but doesn't taste like it's been sitting for hours. It's easy to clean and easy to use! I love that all you have to do in the morning is put your cup under the spout and push!",positive,"I was skeptical because of a few negative reviews.. But we've had this for a few weeks now and so far it's great! We switched from a 6 year old Keurig 2.0 that was starting to act up. I love the programmable settings for both brewing and how long to keep the coffee hot. (I know this is not a new concept but a regular coffee maker tends to 'burn' the coffee as it keeps it warm) He leaves for work at 4:30 a.m. and I leave 3 hours later. We set it up the night before to be ready when he wakes up and the coffee is still hot when I get up, but doesn't taste like it's been sitting for hours. It's easy to clean and easy to use! I love that all you have to do in the morning is put your cup under the spout and push!",skeptical negative review week far great switch year old keurig start act love programmable setting brewing long keep coffee hot know new concept regular coffee maker tend burn coffee keep warm leave work 30 leave hour later set night ready wake coffee still hot get taste like sit hour easy clean easy use love morning put cup spout push,59
16-Jan-18,Karen Xavier,5,"Me and my husband are coffee junkies and I bought this for him since his other coffee maker broke. Once we plugged it in and set it up it did take a minute to figure out how to use it since we dumped the water in the wrong place...but once we figured that out and turned it on it was quick to heat and doesn’t drip like other coffee makers do. The brewing time is a nice feature which keeps the coffee warm for a certain amount of time and up to 4 hours, and also the programmable time is a plus since he wakes up early and doesn’t have to worry about making coffee as it turns on and starts to brew on the set time. We haven’t had any leaks, and find this to be wayyy nicer than other coffee makers like this we had in the past.",positive,"Me and my husband are coffee junkies and I bought this for him since his other coffee maker broke. Once we plugged it in and set it up it did take a minute to figure out how to use it since we dumped the water in the wrong place...but once we figured that out and turned it on it was quick to heat and doesn’t drip like other coffee makers do. The brewing time is a nice feature which keeps the coffee warm for a certain amount of time and up to 4 hours, and also the programmable time is a plus since he wakes up early and doesn’t have to worry about making coffee as it turns on and starts to brew on the set time. We haven’t had any leaks, and find this to be wayyy nicer than other coffee makers like this we had in the past.",husband coffee junky buy since coffee maker break plug set take minute figure use since dump water wrong place figure turn quick heat drip like coffee maker brewing time nice feature keep coffee warm certain amount time hour also programmable time plus since wake early worry make coffee turn start brew set time leak find wayyy nicer coffee maker like past,61
12-Dec-19,Soulfoxx,,"I like the convenience of this coffee maker. The instructions are clear and easy to follow. The flavor of the coffee is always delicious with no residue or tinny taste. It brews pretty quick, and you can dispense while brewing—but if you like hot, hot coffee, wait. The keep warm feature is great. It’s super easy to clean! Only concerns are the display for more than 1-4 cups never shows up. Even if you program 1-4 cups it will brew all the water—if it were a truly programmable maker it should be able to calculate water usage. The actual coffee dispenser does not work as easily as stated. If the cup isn’t heavy enough, you have to use your hand to press the dispenser bar to release the coffee, thereby losing the one hand capability claim. I do recommend this as a economical and still great coffee maker in spite of those minor issues.",positive,"I like the convenience of this coffee maker. The instructions are clear and easy to follow. The flavor of the coffee is always delicious with no residue or tinny taste. It brews pretty quick, and you can dispense while brewing—but if you like hot, hot coffee, wait. The keep warm feature is great. It’s super easy to clean! Only concerns are the display for more than 1-4 cups never shows up. Even if you program 1-4 cups it will brew all the water—if it were a truly programmable maker it should be able to calculate water usage. The actual coffee dispenser does not work as easily as stated. If the cup isn’t heavy enough, you have to use your hand to press the dispenser bar to release the coffee, thereby losing the one hand capability claim. I do recommend this as a economical and still great coffee maker in spite of those minor issues.",like convenience coffee maker instruction clear easy follow flavor coffee always delicious residue tinny taste brew pretty quick dispense brewing like hot hot coffee wait keep warm feature great super easy clean concern display cup never show even program cup brew water truly programmable maker able calculate water usage actual coffee dispenser work easily state cup heavy enough use hand press dispenser bar release coffee thereby lose one hand capability claim recommend economical still great coffee maker spite minor issue,80
21-Sep-19,junebug624,,"This is our third Hamilton Beach that dispenses the coffee. We love it! We use our coffee maker every single day and sometime more than one pot is brewed. So this is our third one over 13 years since we purchased our first. We love setting up the coffee the night before so it’s brewed when we come downstairs. It’s very easy to change the timer for weekend wake up times vs weekday. It only has a timer to keep the coffee pot hot up to 4 hours. If you need it to stay hot longer it’s easy enough to turn that function on and off after a couple of hours so it stays on for four more. It can also turn off after 1,2 or 3 hours. We grind our own beans so I can only give a flavor review based on grinding beans but I’m sure it would work just as great with ground coffee.",positive,"This is our third Hamilton Beach that dispenses the coffee. We love it! We use our coffee maker every single day and sometime more than one pot is brewed. So this is our third one over 13 years since we purchased our first. We love setting up the coffee the night before so it’s brewed when we come downstairs. It’s very easy to change the timer for weekend wake up times vs weekday. It only has a timer to keep the coffee pot hot up to 4 hours. If you need it to stay hot longer it’s easy enough to turn that function on and off after a couple of hours so it stays on for four more. It can also turn off after 1,2 or 3 hours. We grind our own beans so I can only give a flavor review based on grinding beans but I’m sure it would work just as great with ground coffee.",third hamilton beach dispense coffee love use coffee maker every single day sometime one pot brew third one 13 year since purchase first love set coffee night brew come downstairs easy change timer weekend wake time vs weekday timer keep coffee pot hot hour need stay hot long easy enough turn function couple hour stay four also turn hour grind bean give flavor review base grind bean sure would work great ground coffee,73
